NAME,Stint 1,Stint 2,Stint 3,Stint 4,driverId,lastName
Sebastian Vettel,Soft (21),Soft (22),Medium (26),,20,vettel
Daniil Kvyat,Soft (13),Medium (20),Soft (36),,826,kvyat
Daniel Ricciardo,Soft (21),Medium (21),Soft (22),Soft (5),817,ricciardo
Max Verstappen,Soft (14),Soft (23),Medium (9),Soft (23),830,verstappen
Fernando Alonso,Soft (15),Soft (21),Medium (7),Soft (26),4,alonso
Lewis Hamilton,Soft (19),Soft (23),Medium (9),Soft (18),1,hamilton
Romain Grosjean,Soft (14),Soft (20),Medium (8),Soft (27),154,grosjean
Nico Rosberg,Soft (20),Medium (22),Medium (22),Soft (5),3,rosberg
Jenson Button,Soft (14),Soft (21),Medium (34),,18,button
Marcus Ericsson,Soft (16),Soft (17),Medium (8),Soft (28),828,ericsson
Felipe Nasr,Soft (14),Soft (18),Medium (10),Soft (27),831,nasr
Felipe Massa,Soft (14),Medium (15),Soft (25),Soft (15),13,massa
Valtteri Bottas,Soft (13),Soft (25),Medium (11),Soft (20),822,bottas
Pastor Maldonado,Medium (25),Soft (16),Soft (28),,813,maldonado
Roberto Merhi,Soft (6),Soft (24),Medium (37),Soft,833,merhi
Will Stevens,Soft (26),Soft (15),Medium (24),Soft,829,stevens
Carlos Sainz Jnr,Soft (15),Soft (21),Medium (24),,832,jnr
Kimi Raikkonen,Soft (22),Soft (21),Medium (9),Soft (3),8,raikkonen
Sergio Perez,Soft (16),Soft (14),Medium (11),Soft (12),815,perez
Nico Hulkenberg,Soft (15),Soft (21),Medium (5),,807,hulkenberg
