NAME,Stint 1,Stint 2,Stint 3,Stint 4,driverId,lastName
Nico Rosberg,Medium (15),Medium (30),Hard (21),,3,rosberg
Lewis Hamilton,Medium (13),Medium (19),Hard (19),Medium (15),1,hamilton
Sebastian Vettel,Medium (14),Medium (26),Hard (26),,20,vettel
Valtteri Bottas,Medium (15),Medium (27),Hard (24),,822,bottas
Kimi Raikkonen,Medium (17),Hard (24),Medium (25),,8,raikkonen
Felipe Massa,Medium (14),Medium (18),Hard (15),Medium (19),13,massa
Daniel Ricciardo,Medium (13),Medium (29),Hard (23),,817,ricciardo
Romain Grosjean,Medium (15),Medium (25),Hard (25),,154,grosjean
Carlos Sainz Jnr,Medium (14),Hard (28),Medium (23),,832,jnr
Daniil Kvyat,Medium (11),Medium (27),Hard (27),,826,kvyat
Max Verstappen,Medium (13),Hard (24),Hard (28),,830,verstappen
Felipe Nasr,Medium (12),Medium (27),Hard (26),,831,nasr
Sergio Perez,Medium (19),Hard (17),Medium (29),,815,perez
Marcus Ericsson,Medium (18),Medium (27),Hard (20),,828,ericsson
Nico Hulkenberg,Medium (10),Medium (16),Medium (23),Hard (16),807,hulkenberg
Jenson Button,Medium (11),Hard (16),Medium (17),Medium (21),18,button
Will Stevens,Medium (16),Medium (16),Hard (15),Medium (16),829,stevens
Roberto Merhi,Medium (17),Medium (13),Hard (19),Medium (13),833,merhi
Pastor Maldonado,Medium (14),Medium (1),Medium (28),Hard (2),813,maldonado
Fernando Alonso,Medium (21),Hard (5),,,4,alonso
