NAME,Stint 1,Stint 2,Stint 3,Stint 4,Stint 5,driverId,lastName
Lewis Hamilton,Medium (19),Hard (24),Intermediate (9),,,1,hamilton
Nico Rosberg,Medium (20),Hard (24),Intermediate (8),,,3,rosberg
Sebastian Vettel,Medium (14),Hard (29),Intermediate (9),,,20,vettel
Felipe Massa,Medium (20),Hard (24),Intermediate (8),,,13,massa
Valtteri Bottas,Medium (21),Hard (23),Intermediate (8),,,822,bottas
Daniil Kvyat,Medium (18),Hard (26),Intermediate (8),,,826,kvyat
Nico Hulkenberg,Medium (19),Hard (25),Intermediate (8),,,807,hulkenberg
Kimi Raikkonen,Medium (13),Hard (25),Intermediate (9),Intermediate (4),,8,raikkonen
Sergio Perez,Medium (20),Hard (24),Intermediate (7),,,815,perez
Fernando Alonso,Medium (1),Hard (16),Medium (20),Intermediate (14),,4,alonso
Marcus Ericsson,Medium (23),Hard (14),Intermediate (4),Medium (1),Intermediate (9),828,ericsson
Roberto Merhi,Medium (36),Intermediate (8),Intermediate (5),,,833,merhi
Will Stevens,Medium (36),Intermediate (9),Intermediate (4),,,829,stevens
Carlos Sainz Jnr,Medium (12),Hard (19),,,,832,jnr
Daniel Ricciardo,Medium (11),Hard (9),Hard (1),,,817,ricciardo
Max Verstappen,Hard (3),,,,,830,verstappen
