NAME,Stint 1,Stint 2,Stint 3,driverId,lastName
Lewis Hamilton,Soft (26),Medium (27),,1,hamilton
Sebastian Vettel,Soft (25),Medium (28),,20,vettel
Felipe Massa,Soft (19),Medium (34),,13,massa
Valtteri Bottas,Soft (22),Medium (31),,822,bottas
Kimi Raikkonen,Soft (28),Medium (25),,8,raikkonen
Sergio Perez,Soft (23),Medium (30),,815,perez
Nico Hulkenberg,Soft (18),Medium (34),,807,hulkenberg
Daniel Ricciardo,Medium (30),Soft (22),,817,ricciardo
Marcus Ericsson,Soft (20),Medium (32),,828,ericsson
Daniil Kvyat,Medium (27),Soft (25),,826,kvyat
Carlos Sainz Jnr,Medium (10),Soft (20),Soft (22),832,jnr
Max Verstappen,Soft (19),Medium (14),Soft (19),830,verstappen
Felipe Nasr,Soft (1),Medium (23),Medium (28),831,nasr
Jenson Button,Soft (25),Medium (27),,18,button
Will Stevens,Soft (26),Medium (25),,829,stevens
Roberto Merhi,Soft (27),Medium (24),,833,merhi
Nico Rosberg,Soft (18),Medium (32),,3,rosberg
Fernando Alonso,Medium (28),Soft (19),,4,alonso
Romain Grosjean,Soft (1),,,154,grosjean
Pastor Maldonado,Soft (1),,,813,maldonado
