NAME,Stint 1,Stint 2,Stint 3,Stint 4,Stint 5,Stint 6,driverId,lastName
Lewis Hamilton,Intermediate (18),Soft (25),Soft (13),,,,1,hamilton
Nico Rosberg,Intermediate (19),Soft (19),Soft (18),,,,3,rosberg
Sebastian Vettel,Intermediate (18),Soft (9),Medium (16),Soft (13),,,20,vettel
Max Verstappen,Intermediate (18),Soft (10),Soft (28),,,,830,verstappen
Sergio Perez,Intermediate (19),Soft (8),Medium (29),,,,815,perez
Carlos Sainz Jnr,Intermediate (19),Soft (8),Medium (16),Soft (13),,,832,jnr
Jenson Button,Intermediate (17),Soft (10),Soft (17),Soft (12),,,18,button
Pastor Maldonado,Intermediate (18),Soft (9),Soft (16),Soft (13),,,813,maldonado
Felipe Nasr,Intermediate (2),Soft (1),Intermediate (14),Soft (9),Soft (16),Soft (14),831,nasr
Daniel Ricciardo,Intermediate (19),Soft (19),Soft (12),Soft (6),,,817,ricciardo
Fernando Alonso,Intermediate (1),Intermediate (17),Soft (8),Soft (30),,,4,alonso
Alexander Rossi,Intermediate (1),Intermediate (16),Soft (10),Medium (29),,,834,rossi
Daniil Kvyat,Intermediate (19),Soft (19),Medium (3),,,,826,kvyat
Nico Hulkenberg,Intermediate (19),Soft (8),Medium (8),,,,807,hulkenberg
Marcus Ericsson,Intermediate (16),Soft (3),Soft (6),,,,828,ericsson
Kimi Raikkonen,Intermediate (19),Soft (1),Soft (5),,,,8,raikkonen
Felipe Massa,Intermediate (18),Soft (5),,,,,13,massa
Romain Grosjean,Intermediate (1),Intermediate (8),Soft (1),,,,154,grosjean
Valtteri Bottas,Intermediate (1),Soft (3),Intermediate (1),,,,822,bottas
Will Stevens,Intermediate (1),,,,,,829,stevens
