raceId,driverId,lap,position,time,milliseconds
944,3,1,1,1:20.546,80546
944,3,2,1,1:16.717,76717
944,3,3,1,1:16.498,76498
944,3,4,1,1:16.211,76211
944,3,5,1,1:16.080,76080
944,3,6,1,1:16.226,76226
944,3,7,1,1:16.516,76516
944,3,8,1,1:16.295,76295
944,3,9,1,1:16.712,76712
944,3,10,1,1:16.817,76817
944,3,11,1,1:16.588,76588
944,3,12,1,1:16.525,76525
944,3,13,2,1:21.802,81802
944,3,14,2,1:33.962,93962
944,3,15,1,1:16.413,76413
944,3,16,1,1:16.025,76025
944,3,17,1,1:16.619,76619
944,3,18,1,1:16.692,76692
944,3,19,1,1:16.484,76484
944,3,20,1,1:16.616,76616
944,3,21,1,1:16.600,76600
944,3,22,1,1:16.709,76709
944,3,23,1,1:16.639,76639
944,3,24,1,1:16.678,76678
944,3,25,1,1:16.869,76869
944,3,26,1,1:16.420,76420
944,3,27,1,1:16.578,76578
944,3,28,1,1:16.426,76426
944,3,29,1,1:16.409,76409
944,3,30,1,1:16.381,76381
944,3,31,1,1:16.442,76442
944,3,32,1,1:16.612,76612
944,3,33,2,1:22.486,82486
944,3,34,2,1:32.819,92819
944,3,35,1,1:15.669,75669
944,3,36,1,1:15.693,75693
944,3,37,1,1:15.858,75858
944,3,38,1,1:15.875,75875
944,3,39,1,1:15.772,75772
944,3,40,1,1:16.153,76153
944,3,41,1,1:16.226,76226
944,3,42,1,1:16.202,76202
944,3,43,1,1:15.920,75920
944,3,44,1,1:15.655,75655
944,3,45,1,1:16.317,76317
944,3,46,1,1:15.870,75870
944,3,47,1,1:15.509,75509
944,3,48,2,1:21.073,81073
944,3,49,2,1:31.394,91394
944,3,50,1,1:15.149,75149
944,3,51,1,1:15.136,75136
944,3,52,1,1:15.518,75518
944,3,53,1,1:15.123,75123
944,3,54,1,1:15.478,75478
944,3,55,1,1:15.152,75152
944,3,56,1,1:15.444,75444
944,3,57,1,1:14.957,74957
944,3,58,1,1:15.228,75228
944,3,59,1,1:15.474,75474
944,3,60,1,1:15.187,75187
944,3,61,1,1:15.271,75271
944,3,62,1,1:15.041,75041
944,3,63,1,1:15.270,75270
944,3,64,1,1:15.643,75643
944,3,65,1,1:15.538,75538
944,3,66,1,1:15.471,75471
944,3,67,1,1:15.750,75750
944,3,68,1,1:15.488,75488
944,3,69,1,1:16.079,76079
944,3,70,1,1:15.602,75602
944,3,71,1,1:16.493,76493
944,1,1,2,1:21.209,81209
944,1,2,2,1:17.048,77048
944,1,3,2,1:16.361,76361
944,1,4,2,1:16.347,76347
944,1,5,2,1:16.263,76263
944,1,6,2,1:16.309,76309
944,1,7,2,1:16.648,76648
944,1,8,2,1:16.565,76565
944,1,9,2,1:16.630,76630
944,1,10,2,1:16.724,76724
944,1,11,2,1:16.721,76721
944,1,12,2,1:16.504,76504
944,1,13,1,1:16.558,76558
944,1,14,1,1:21.665,81665
944,1,15,2,1:33.309,93309
944,1,16,2,1:16.149,76149
944,1,17,2,1:16.580,76580
944,1,18,2,1:16.237,76237
944,1,19,2,1:16.734,76734
944,1,20,2,1:16.488,76488
944,1,21,2,1:16.728,76728
944,1,22,2,1:16.593,76593
944,1,23,2,1:16.582,76582
944,1,24,2,1:16.471,76471
944,1,25,2,1:17.209,77209
944,1,26,2,1:16.881,76881
944,1,27,2,1:16.972,76972
944,1,28,2,1:16.826,76826
944,1,29,2,1:16.934,76934
944,1,30,2,1:16.713,76713
944,1,31,2,1:16.787,76787
944,1,32,2,1:16.643,76643
944,1,33,1,1:17.051,77051
944,1,34,1,1:21.551,81551
944,1,35,2,1:32.505,92505
944,1,36,2,1:15.350,75350
944,1,37,2,1:15.895,75895
944,1,38,2,1:16.284,76284
944,1,39,2,1:15.581,75581
944,1,40,2,1:15.703,75703
944,1,41,2,1:16.012,76012
944,1,42,2,1:15.937,75937
944,1,43,2,1:16.348,76348
944,1,44,2,1:16.070,76070
944,1,45,2,1:15.304,75304
944,1,46,2,1:15.645,75645
944,1,47,2,1:15.974,75974
944,1,48,1,1:15.821,75821
944,1,49,1,1:20.261,80261
944,1,50,2,1:30.641,90641
944,1,51,2,1:14.832,74832
944,1,52,2,1:15.054,75054
944,1,53,2,1:15.465,75465
944,1,54,2,1:16.009,76009
944,1,55,2,1:15.102,75102
944,1,56,2,1:15.307,75307
944,1,57,2,1:14.913,74913
944,1,58,2,1:15.380,75380
944,1,59,2,1:15.525,75525
944,1,60,2,1:15.376,75376
944,1,61,2,1:15.527,75527
944,1,62,2,1:15.733,75733
944,1,63,2,1:15.373,75373
944,1,64,2,1:15.529,75529
944,1,65,2,1:16.043,76043
944,1,66,2,1:16.278,76278
944,1,67,2,1:15.997,75997
944,1,68,2,1:16.540,76540
944,1,69,2,1:16.505,76505
944,1,70,2,1:16.559,76559
944,1,71,2,1:17.478,77478
944,20,1,3,1:22.124,82124
944,20,2,3,1:17.314,77314
944,20,3,3,1:16.803,76803
944,20,4,3,1:16.616,76616
944,20,5,3,1:16.639,76639
944,20,6,3,1:16.604,76604
944,20,7,3,1:16.720,76720
944,20,8,3,1:16.615,76615
944,20,9,3,1:16.597,76597
944,20,10,3,1:16.952,76952
944,20,11,3,1:16.741,76741
944,20,12,3,1:16.906,76906
944,20,13,3,1:22.215,82215
944,20,14,3,1:33.874,93874
944,20,15,3,1:16.442,76442
